gate,tuple,error
cx gate,"(0, 1)",0.008246179016451444
cx gate,"(1, 0)",0.008246179016451444
cx gate,"(1, 2)",0.012068727589155975
cx gate,"(1, 4)",0.005349340172954492
cx gate,"(2, 1)",0.012068727589155975
cx gate,"(2, 3)",0.005828180444777981
cx gate,"(3, 2)",0.005828180444777981
cx gate,"(3, 5)",0.008060759616623892
cx gate,"(4, 1)",0.005349340172954492
cx gate,"(4, 7)",0.009210723449226077
cx gate,"(5, 3)",0.008060759616623892
cx gate,"(5, 8)",1
cx gate,"(6, 7)",0.013478467988795678
cx gate,"(7, 4)",0.009210723449226077
cx gate,"(7, 6)",0.013478467988795678
cx gate,"(7, 10)",0.009148830781482625
cx gate,"(8, 5)",1
cx gate,"(8, 9)",0.008981521391055125
cx gate,"(8, 11)",0.006458684338612269
cx gate,"(9, 8)",0.008981521391055125
cx gate,"(10, 7)",0.009148830781482625
cx gate,"(10, 12)",0.007835684074842031
cx gate,"(11, 8)",0.006458684338612269
cx gate,"(11, 14)",1
cx gate,"(12, 10)",0.007835684074842031
cx gate,"(12, 13)",0.008748968490894599
cx gate,"(12, 15)",0.006181614808155572
cx gate,"(13, 12)",0.008748968490894599
cx gate,"(13, 14)",0.005582420335888794
cx gate,"(14, 11)",1
cx gate,"(14, 13)",0.005582420335888794
cx gate,"(14, 16)",0.0062377871143891594
cx gate,"(15, 12)",0.006181614808155572
cx gate,"(15, 18)",0.025598442169530056
cx gate,"(16, 14)",0.0062377871143891594
cx gate,"(16, 19)",0.011338637661000517
cx gate,"(17, 18)",1
cx gate,"(18, 15)",0.025598442169530056
cx gate,"(18, 17)",1
cx gate,"(18, 21)",0.02356070005376551
cx gate,"(19, 16)",0.011338637661000517
cx gate,"(19, 20)",0.0047461120769885234
cx gate,"(19, 22)",0.005102225627901302
cx gate,"(20, 19)",0.0047461120769885234
cx gate,"(21, 18)",0.02356070005376551
cx gate,"(21, 23)",0.007963901617039498
cx gate,"(22, 19)",0.005102225627901302
cx gate,"(22, 25)",0.005605712464283902
cx gate,"(23, 21)",0.007963901617039498
cx gate,"(23, 24)",0.00870860539980925
cx gate,"(24, 23)",0.00870860539980925
cx gate,"(24, 25)",0.008023493721417169
cx gate,"(25, 22)",0.005605712464283902
cx gate,"(25, 24)",0.008023493721417169
cx gate,"(25, 26)",0.0054032560277567365
cx gate,"(26, 25)",0.0054032560277567365
